Governorate;Camp Name;household;men;women;boys;girls;individual;Camp Management;Shelter;NFIs;Water;Sanitation;Waste removal;Health;Food;Livelihood;Protection;Education;Geo
Ninewa;As Salamyiah 1;1654;1199;1624;2230;1199;7329;0. No;1. Low;0. No;2. Medium;0. No;0. No;2. Medium;1. Low;1. Low;1. Low;2. Medium;36.150123,43.332902
Ninewa;As Salamyiah 2;4018;4099;4907;6163;4099;21429;0. No;1. Low;0. No;2. Medium;0. No;0. No;2. Medium;1. Low;1. Low;1. Low;1. Low;36.1537365,43.3208858
Anbar;Al-Khalidiya camp 7 (AK5);60;71;71;86;71;298;1. Low;1. Low;4. Very high;3. High;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;3. High;33.345232,43.509466
Anbar;Al-Khalidiya camp 7 (AK7);126;132;189;182;132;655;1. Low;1. Low;4. Very high;3. High;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;3. High;33.343819,43.504708
Anbar;Al-Khalidiya camp 9 (AK9);100;119;110;88;119;397;1. Low;1. Low;4. Very high;3. High;2. Medium;0. No;1. Low;2. Medium;2. Medium;2. Medium;3. High;33.346,43.513335
Anbar;Al-Khalidiya camp 11 (AK11);120;80;104;130;80;411;1. Low;1. Low;4. Very high;3. High;3. High;0. No;1. Low;1. Low;2. Medium;2. Medium;3. High;33.345827,43.502009
Anbar;Al-Khalidiya camp 8 (AK-M3);122;120;151;235;120;741;1. Low;1. Low;4. Very high;3. High;2. Medium;0. No;1. Low;2. Medium;2. Medium;2. Medium;4. Very high;33.355324,43.550294
Baghdad;Al-Nabi Younis;90;133;138;73;133;412;1. Low;1. Low;1. Low;2. Medium;1. Low;0. No;1. Low;1. Low;2. Medium;2. Medium;4. Very high;33.36286,44.66264
Dahuk;Dawadia;655;805;929;885;805;3463;1. Low;1. Low;0. No;2. Medium;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;3. High;37.093332,43.229453
Dahuk;Kabarto 1;2496;3552;3834;2994;3552;13494;1. Low;1. Low;0. No;1. Low;2. Medium;2. Medium;0. No;2. Medium;1. Low;2. Medium;3. High;36.7863,42.8549
Dahuk;Kabarto 2;2531;3361;3601;3295;3361;13445;1. Low;1. Low;0. No;1. Low;2. Medium;0. No;0. No;2. Medium;2. Medium;1. Low;3. High;36.79299,42.85833
Dahuk;Shariya;3054;4068;4443;3935;4068;16467;1. Low;2. Medium;3. High;2. Medium;0. No;2. Medium;1. Low;2. Medium;1. Low;1. Low;2. Medium;36.79687,42.96181
Dahuk;Berseve 1;1596;2206;2379;2143;2206;8853;1. Low;2. Medium;0. No;1. Low;2. Medium;2. Medium;0. No;2. Medium;1. Low;3. High;2. Medium;37.18099,42.85387
Dahuk;Chamishku;5027;7337;7805;6269;7337;27394;1. Low;1. Low;4. Very high;1. Low;2. Medium;0. No;0. No;2. Medium;1. Low;2. Medium;2. Medium;37.178,42.668
Dahuk;Darkar;718;987;1025;960;987;3957;1. Low;1. Low;1. Low;2. Medium;2. Medium;2. Medium;0. No;2. Medium;2. Medium;1. Low;2. Medium;37.198176,42.832349
Ninewa;Mamilian;347;387;524;434;387;1795;1. Low;1. Low;1. Low;2. Medium;2. Medium;2. Medium;0. No;1. Low;2. Medium;1. Low;1. Low;36.68664,43.7965
Ninewa;Sheikhan;844;1234;1198;1094;1234;4623;1. Low;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;36.677814,43.343325
Ninewa;Garmawa;210;205;223;335;205;1117;1. Low;1. Low;1. Low;1. Low;0. No;0. No;0. No;2. Medium;2. Medium;2. Medium;2. Medium;36.646885,43.237
Erbil;Debaga 2;188;226;243;302;226;1083;1. Low;1. Low;0. No;1. Low;2. Medium;2. Medium;2. Medium;1. Low;1. Low;2. Medium;1. Low;35.879121,43.801301
Ninewa;Hasansham U3;1334;1070;1532;2121;1070;6648;1. Low;2. Medium;0. No;1. Low;0. No;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;1. Low;36.32304,43.5395
Ninewa;As Salamyiah Nimrud;907;697;1103;1303;697;4414;1. Low;1. Low;0. No;1. Low;1. Low;0. No;0. No;1. Low;1. Low;2. Medium;1. Low;36.10508,43.32115
Ninewa;Haj Ali;5569;3744;6008;8137;3744;26075;1. Low;1. Low;0. No;2. Medium;0. No;0. No;2. Medium;1. Low;1. Low;1. Low;2. Medium;35.751975,43.3220083
Ninewa;Qayyarah-Jad'ah 1 & 2;2448;2170;2667;2872;2170;10435;1. Low;2. Medium;1. Low;2. Medium;2. Medium;0. No;2. Medium;1. Low;1. Low;1. Low;1. Low;35.76045,43.268035
Ninewa;Qayyarah-Jad'ah 3;1754;1707;2096;2354;1707;8435;1. Low;2. Medium;1. Low;2. Medium;2. Medium;0. No;2. Medium;2. Medium;1. Low;1. Low;1. Low;35.75123,43.26595
Ninewa;Qayyarah-Jad'ah 5;4975;3827;5291;6276;3827;21660;1. Low;2. Medium;1. Low;2. Medium;2. Medium;0. No;1. Low;1. Low;2. Medium;2. Medium;1. Low;35.76501,43.25513
Salah al-Din;Al-Alam;1117;977;1254;1670;977;5515;1. Low;1. Low;2. Medium;1. Low;0. No;2. Medium;2. Medium;1. Low;1. Low;1. Low;2. Medium;34.824892,43.584781
Salah al-Din;Al Sh'hamah / Kamarah;692;633;836;877;633;3306;1. Low;1. Low;2. Medium;2. Medium;1. Low;0. No;1. Low;2. Medium;2. Medium;2. Medium;1. Low;34.689,43.619
Anbar;Bzebiez central camp (Al-Markazi);730;1037;874;790;1037;3368;2. Medium;2. Medium;3. High;1. Low;3. High;0. No;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;33.137507,44.011953
Anbar;Ahil AlRamadi Camp (Al-Asfar);206;161;190;443;161;1246;2. Medium;2. Medium;3. High;3. High;4. Very high;2. Medium;2. Medium;3. High;3. High;3. High;3. High;33.145,44.015
Anbar;Ahil AlRamadi 74 Camp;62;33;32;25;33;112;2. Medium;2. Medium;3. High;3. High;3. High;3. High;3. High;2. Medium;2. Medium;3. High;2. Medium;33.146,44.014
Anbar;Bzebize IDP District  4;116;158;183;103;158;533;2. Medium;2. Medium;2. Medium;3. High;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;3. High;2. Medium;33.147,44.016
Anbar;Bzebize IDP District  2;188;175;205;270;175;840;2. Medium;2. Medium;2. Medium;3. High;3. High;2. Medium;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;33.14,44.025
Anbar;Bzebize IDP District  1;238;393;453;401;393;1615;2. Medium;2. Medium;2. Medium;2. Medium;3. High;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;3. High;33.133,44.028
Anbar;Camp 50;145;224;259;157;224;837;2. Medium;1. Low;2. Medium;3. High;2. Medium;2. Medium;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;33.147,44.012
Anbar;Bzebiez central camp;320;486;361;352;486;1585;2. Medium;2. Medium;2. Medium;3. High;3. High;2. Medium;2. Medium;2. Medium;1. Low;2. Medium;1. Low;33.13861,44.02083
Anbar;Al Ihssan ;425;692;592;518;692;2242;2. Medium;1. Low;2. Medium;3. High;3. High;0. No;2. Medium;2. Medium;2. Medium;2. Medium;3. High;33.137487,44.012261
Anbar;Al-Nasir Camp (AAF01);137;209;133;124;209;591;2. Medium;1. Low;1. Low;2. Medium;2. Medium;0. No;3. High;1. Low;2. Medium;2. Medium;4. Very high;33.1493893832112,43.8404816900798
Anbar;Al-Salam Camp (AAF02);115;168;175;202;168;743;2. Medium;1. Low;2. Medium;4. Very high;2. Medium;2. Medium;1. Low;2. Medium;3. High;2. Medium;4. Very high;33.149196,43.842974
Anbar;Al-Hijaj camp (AAF04);130;70;92;125;70;437;2. Medium;2. Medium;3. High;3. High;3. High;2. Medium;2. Medium;2. Medium;2. Medium;3. High;3. High;33.1486561709942,43.848035430537
Anbar;Al-Amal Al-manshood 1 MoDM camp (AAF05);85;66;77;101;66;336;2. Medium;2. Medium;2. Medium;3. High;2. Medium;3. High;2. Medium;2. Medium;2. Medium;3. High;4. Very high;33.1483369114514,43.8510494778628
Anbar;School (AAF06);40;118;150;140;118;508;2. Medium;2. Medium;2. Medium;3. High;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;2. Medium;33.1480803294581,43.8530096047349
Anbar;Amriyat Al-Fallujah semi-perminant / UNHCR Halls (Al Qa'at AAF07);67;50;67;73;50;253;2. Medium;1. Low;1. Low;1. Low;2. Medium;2. Medium;4. Very high;2. Medium;2. Medium;3. High;2. Medium;33.1469100030515,43.8505055221372
Anbar;Sabe Sanabul camp (AAF09);31;38;44;23;38;126;2. Medium;1. Low;0. No;4. Very high;2. Medium;2. Medium;2. Medium;3. High;3. High;3. High;3. High;33.1449311297714,43.8538630916002
Anbar;Al-Abaydh camp (AAF10);83;67;107;80;67;307;2. Medium;2. Medium;1. Low;1. Low;2. Medium;0. No;3. High;3. High;4. Very high;3. High;2. Medium;33.1437004717598,43.8504106167888
Anbar;caravans camp (AAF11);540;270;383;430;270;1487;2. Medium;2. Medium;2. Medium;3. High;2. Medium;3. High;2. Medium;2. Medium;2. Medium;3. High;3. High;33.146486,43.8463219130043
